"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AAEL0197704",6.1728042254055e-42,1.25821543738504,0.969,0.456,7.35489623457066e-38,"21","AAEL019770"
"AAEL0071295",4.69427385945414e-38,1.16179554891683,0.908,0.357,5.59322730353961e-34,"21","AAEL007129"
"AAEL0206144",5.86195472098451e-32,1.08079763085299,0.831,0.273,6.98451905005304e-28,"21","AAEL020614"
"AAEL002974",3.5148462824146e-88,1.03688612516505,0.719,0.068,4.18793934549699e-84,"22","AAEL002974"
"AAEL005256",1.27554777273683e-47,1.16178580780761,0.984,0.272,1.51981517121593e-43,"22","AAEL005256"
"AAEL0217242",6.51525317939682e-39,1.39925934760134,0.703,0.177,7.76292416325131e-35,"22","AAEL021724"
"AAEL0228764",1.15421779912831e-17,1.04968281491109,0.641,0.276,1.37525050766138e-13,"22","AAEL022876"
"AAEL014972",2.8745675613415e-245,1.04238927983626,0.419,0.006,3.4250472493384e-241,"23","AAEL014972"
"AAEL024210",7.81359185994033e-120,1.18234048329886,0.5,0.023,9.3098947011189e-116,"23","AAEL024210"
"AAEL0195751",2.95349272079393e-113,1.89834259114959,0.839,0.083,3.51908657682596e-109,"23","AAEL019575"
"AAEL0023081",2.81830089414088e-104,1.37790733958513,0.645,0.047,3.35800551536886e-100,"23","AAEL002308"
"AAEL0104691",5.50683119703388e-94,1.72243241410685,0.79,0.087,6.56138937126587e-90,"23","AAEL010469"
"AAEL023958",1.77337852098596e-73,1.55009962576341,0.661,0.076,2.11298050775478e-69,"23","AAEL023958"
"AAEL0037132",3.45970270683495e-53,1.02068872979669,0.484,0.051,4.12223577519384e-49,"23","AAEL003713"
"AAEL0271312",2.26498750394292e-50,1.28676507811335,0.742,0.127,2.69873261094799e-46,"23","AAEL027131"
"AAEL011349",1.10240701079411e-42,1.23252208367148,0.5,0.071,1.31351795336118e-38,"23","AAEL011349"
"AAEL0027652",8.87305604645507e-39,1.19098300619024,0.694,0.152,1.05722462793512e-34,"23","AAEL002765"
"AAEL0181501",1.63508802836763e-38,1.65914999238997,0.645,0.144,1.94820738580003e-34,"23","AAEL018150"
"AAEL0182193",3.01264802509199e-34,1.37040076723046,0.774,0.227,3.58957012189711e-30,"23","AAEL018219"
"AAEL0048031",1.62511796601611e-28,1.01994647851476,0.435,0.076,1.93632805650819e-24,"23","AAEL004803"
"AAEL0012815",8.6119044772238e-23,1.01289649101226,0.806,0.499,1.02610841846122e-18,"23","AAEL001281"
"AAEL0072212",7.60784120168047e-131,1.28035784814502,0.712,0.038,9.06474279180228e-127,"24","AAEL007221"
"AAEL0118371",3.6690122970408e-78,1.69786140467416,0.981,0.155,4.37162815192411e-74,"24","AAEL011837"
"AAEL0122483",5.11140089589104e-72,1.365865845729,0.808,0.095,6.09023416745417e-68,"24","AAEL012248"
"AAEL0260741",1.56546718665917e-57,1.55420337742325,0.923,0.184,1.8652541529044e-53,"24","AAEL026074"
"AAEL0110135",2.2894217761446e-56,1.40546876823817,0.846,0.141,2.72784604627629e-52,"24","AAEL011013"
"AAEL0237613",6.55845835260093e-55,1.51447141539479,1,0.243,7.81440312712401e-51,"24","AAEL023761"
"AAEL0108565",5.0484046576886e-52,1.09159153170018,0.712,0.093,6.01517414963597e-48,"24","AAEL010856"
"AAEL0061142",4.34013938325119e-44,1.38128403283906,0.942,0.238,5.17127607514379e-40,"24","AAEL006114"
"AAEL0137762",1.83603043877034e-39,1.3051780373749,0.962,0.306,2.18763026779487e-35,"24","AAEL013776"
"AAEL0276616",1.45446898868756e-38,1.20954406365972,0.981,0.324,1.73299980002123e-34,"24","AAEL027661"
"AAEL0034072",5.18063274901387e-38,1.25488509239656,0.942,0.302,6.17272392045002e-34,"24","AAEL003407"
"AAEL0052561",1.17096985454387e-34,1.17654706676275,0.904,0.274,1.39521058168902e-30,"24","AAEL005256"
"AAEL0195086",8.0297521801736e-34,1.19623753688079,0.923,0.349,9.56744972267685e-30,"24","AAEL019508"
"AAEL0026845",1.67753287843791e-30,1.10889432284964,0.923,0.287,1.99878042465878e-26,"24","AAEL002684"
"AAEL0022203",1.31504885013655e-27,1.06120797839727,0.904,0.356,1.5668807049377e-23,"24","AAEL002220"
"AAEL0037947",1.63096139028879e-26,1.01168186887365,0.865,0.276,1.94329049652909e-22,"24","AAEL003794"
"AAEL0254187",9.41302413304266e-26,1.02026715280347,0.904,0.358,1.12156182545203e-21,"24","AAEL025418"
"AAEL0049303",9.10660766982581e-68,1.20565179925408,0.717,0.067,1.08505230385974e-63,"25","AAEL004930"
"AAEL0090242",1.6897978114166e-60,1.62046636883987,0.978,0.176,2.01339409230288e-56,"25","AAEL009024"
