,avg.exp,pct.exp,features.plot,id,avg.exp.scaled,OG
AAEL02744410,2.66710106411946,34.5679012345679,AAEL027444,10,0.629506801791642,OG0000547
AAEL02782210,2.11974609141252,30.2469135802469,AAEL027822,10,2.5,OG0000067
AAEL00026611,3.50500199101446,41.025641025641,AAEL000266,11,1.02435156709108,OG0000006
AAEL00052811,7.62095180495736,50.6410256410256,AAEL000528,11,1.8581360722008,OG0015066
AAEL00498211,4.84732181261769,55.7692307692308,AAEL004982,11,1.10987511199917,OG0000961
AAEL00694711,10.7695593986045,73.0769230769231,AAEL006947,11,2.5,OG0000004
AAEL00710411,6.30636421819025,57.6923076923077,AAEL007104,11,0.660615328208813,OG0001295
AAEL00813811,4.07463088629549,48.7179487179487,AAEL008138,11,0.617953379576605,OG0000777
AAEL01004311,9.31812989285948,53.2051282051282,AAEL010043,11,2.22776941803842,OG0000081
AAEL01733511,4.01400808272918,41.025641025641,AAEL017335,11,2.5,OG0000596
AAEL01960811,5.16902268609319,49.3589743589744,AAEL019608,11,0.753023564349944,OG0001884
AAEL01971011,62.1716871018773,99.3589743589744,AAEL019710,11,1.61695887935061,OG0000615
AAEL01975711,14.1680070158054,82.051282051282,AAEL019757,11,2.5,OG0000081
AAEL01976611,16.7014796461977,72.4358974358974,AAEL019766,11,1.55524850731639,OG0000006
AAEL00026612,4.25005696640515,29.1390728476821,AAEL000266,12,1.60347801877026,OG0000006
AAEL00498212,3.90224030130518,27.8145695364238,AAEL004982,12,0.544057261865765,OG0000961
AAEL00813812,3.99603791739206,29.8013245033113,AAEL008138,12,0.547886031196794,OG0000777
AAEL01981812,10.6464136535204,54.3046357615894,AAEL019818,12,2.5,OG0001902
AAEL00026613,2.87906541301901,39.6825396825397,AAEL000266,13,0.537815081376554,OG0000006
AAEL00453313,14.6652554152957,80.9523809523809,AAEL004533,13,0.530229542409142,OG0001683
AAEL00583413,11.6675812770163,69.0476190476191,AAEL005834,13,0.685829328072399,OG0000006
AAEL00607713,8.05275976819357,61.1111111111111,AAEL006077,13,1.0789918614599,OG0000004
AAEL00684413,7.84443563264395,66.6666666666667,AAEL006844,13,1.98257158359656,OG0000006
AAEL00694713,4.44670986751409,38.0952380952381,AAEL006947,13,0.572116288506842,OG0000004
AAEL01040813,3.80950825102425,44.4444444444444,AAEL010408,13,1.51989557877797,OG0000127
AAEL01168013,16.3403034248863,80.9523809523809,AAEL011680,13,2.5,OG0000004
AAEL01960813,14.3510407127398,78.5714285714286,AAEL019608,13,2.5,OG0001884
AAEL01966713,64.9509029091629,98.4126984126984,AAEL019667,13,2.5,OG0001683
AAEL01975713,7.37775530353344,50.7936507936508,AAEL019757,13,1.19597222828511,OG0000081
AAEL01982113,10.2223980793431,67.4603174603175,AAEL019821,13,2.43758397669181,OG0012955
AAEL02110013,32.3738390522266,96.031746031746,AAEL021100,13,0.88574655762415,OG0000006
