"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG76072",3.36923344645048e-157,3.41496174897166,0.953,0.192,4.22367104847032e-153,"48","CG7607"
"GstE23",2.33951764045503e-156,2.0363145101332,0.713,0.089,2.93281931407443e-152,"48","GstE2"
"Jheh11",3.4020912908611e-154,1.24635203636331,0.28,0.014,4.26486164222347e-150,"48","Jheh1"
"Jheh21",4.94685585747233e-153,1.34214549686244,0.327,0.02,6.20137850292732e-149,"48","Jheh2"
"Jheh31",5.40451818486595e-153,1.43880987999364,0.367,0.025,6.77510399654795e-149,"48","Jheh3"
"CR310443",3.55046563488385e-152,1.78382097768811,0.38,0.026,4.4508637198904e-148,"48","CR31044"
"CG96891",7.25471693228727e-149,1.22932778674782,0.34,0.021,9.09451314631533e-145,"48","CG9689"
"Orct1",2.70381164956382e-148,1.19084222781,0.273,0.014,3.38949828389321e-144,"48","Orct"
"CG108632",2.38476270450316e-147,2.36324974234135,0.707,0.101,2.98953852636516e-143,"48","CG10863"
"Vha68-21",4.54718061116359e-147,1.27429005305141,0.347,0.023,5.70034561415467e-143,"48","Vha68-2"
"Tsp42Ea2",1.61119619971882e-144,1.82448068856953,0.487,0.045,2.01979555596751e-140,"48","Tsp42Ea"
"CG10669",6.15295880108288e-144,1.0823548813963,0.26,0.013,7.7133491530375e-140,"48","CG10669"
"Cyp28a53",8.25730210777399e-143,1.69487370373199,0.58,0.063,1.03513539223055e-138,"48","Cyp28a5"
"foxo",1.04019137947656e-142,1.32071005747811,0.3,0.018,1.30398391331181e-138,"48","foxo"
"CG1764",1.32835549467901e-142,2.59133486626674,0.713,0.112,1.66522644812961e-138,"48","CG1764"
"Spn43Ab2",3.7142475178531e-140,2.68119231681071,0.653,0.088,4.65618068838064e-136,"48","Spn43Ab"
"Npc2a11",8.57306990673084e-139,3.00144930006036,0.867,0.175,1.07472004350778e-134,"48","Npc2a"
"repo3",2.48916907519577e-136,1.63495564891599,0.413,0.035,3.12042235266541e-132,"48","repo"
"CG325215",2.19544733037704e-135,2.85812882021943,0.893,0.193,2.75221277336065e-131,"48","CG32521"
